id,section,row,label,x,y,w,h,note
1,main,R1,ESC,31,54,18,18,
2,main,R1,1,51,54,18,18,
3,main,R1,2,71,54,18,18,
4,main,R1,3,91,54,18,18,
5,main,R1,4,111,54,18,18,
6,main,R1,5,131,54,18,18,
7,main,R1,6,151,54,18,18,
8,main,R1,7,171,54,18,18,
9,main,R1,8,191,54,18,18,
10,main,R1,9,211,54,18,18,
11,main,R1,0,231,54,18,18,
12,main,R1,-,251,54,18,18,
13,main,R1,^,271,54,18,18,
14,main,R1,CLR,291,54,18,18,
15,main,R1,DEL,313,54,30,18,
16,main,R2,TAB,31,76,18,18,
17,main,R2,Q,51,76,18,18,
18,main,R2,W,71,76,18,18,
19,main,R2,E,91,76,18,18,
20,main,R2,R,111,76,18,18,
21,main,R2,T,131,76,18,18,
22,main,R2,Y,151,76,18,18,
23,main,R2,U,171,76,18,18,
24,main,R2,I,191,76,18,18,
25,main,R2,O,211,76,18,18,
26,main,R2,P,231,76,18,18,
27,main,R2,@,251,76,18,18,
28,main,R2,[,271,76,18,18,
29,main,R2,],291,76,18,18,
30,main,R2,RETURN,313,76,30,40,
31,main,R3,CAPS,31,98,18,18,
32,main,R3,A,51,98,18,18,
33,main,R3,S,71,98,18,18,
34,main,R3,D,91,98,18,18,
35,main,R3,F,111,98,18,18,
36,main,R3,G,131,98,18,18,
37,main,R3,H,151,98,18,18,
38,main,R3,J,171,98,18,18,
39,main,R3,K,191,98,18,18,
40,main,R3,L,211,98,18,18,
41,main,R3,; ,231,98,18,18,
42,main,R3,:,251,98,18,18,
43,main,R3,*,271,98,18,18,
44,main,R4,SHIFT,31,120,18,18,
45,main,R4,Z,51,120,18,18,
46,main,R4,X,71,120,18,18,
47,main,R4,C,91,120,18,18,
48,main,R4,V,111,120,18,18,
49,main,R4,B,131,120,18,18,
50,main,R4,N,151,120,18,18,
51,main,R4,M,171,120,18,18,
52,main,R4,",",191,120,18,18,
53,main,R4,.,211,120,18,18,
54,main,R4,/,231,120,18,18,
55,main,R4,↑,253,120,18,18,
56,main,R4,SHIFT,293,120,50,18,
57,main,R5,CTRL,31,142,30,18,
58,main,R5,COPY,63,142,30,18,
59,main,R5,SPACE,95,142,124,18,
60,main,R5,←,221,142,18,18,
61,main,R5,↓,241,142,18,18,
62,main,R5,→,261,142,18,18,
63,main,R5,ENTER,293,142,50,18,
64,cursor,C1,↑,366,35,20,20,
65,cursor,C2,←,344,57,20,20,
66,cursor,C2,↓,366,57,20,20,
67,cursor,C2,→,388,57,20,20,
68,cursor,C3,CLR,366,79,20,20,center-lower key under arrows
69,numpad,N1,7,350,101,18,18,
70,numpad,N1,8,370,101,18,18,
71,numpad,N1,9,390,101,18,18,
72,numpad,N2,4,350,123,18,18,
73,numpad,N2,5,370,123,18,18,
74,numpad,N2,6,390,123,18,18,
75,numpad,N3,1,350,145,18,18,
76,numpad,N3,2,370,145,18,18,
77,numpad,N3,3,390,145,18,18,
78,numpad,N4,0,350,167,18,18,
79,numpad,N4,.,370,167,18,18,
80,numpad,N4,ENTER,390,167,18,18,
81,function,FROW,f0,433,164,18,18,front-panel function/tape control key
82,function,FROW,f1,454,164,18,18,front-panel function/tape control key
83,function,FROW,f2,475,164,18,18,front-panel function/tape control key
84,function,FROW,f3,496,164,18,18,front-panel function/tape control key
85,function,FROW,f4,517,164,18,18,front-panel function/tape control key
