id,section,row,label,x,y,w,h,note
1,main,cursor-top,↑,564,27,35,36,
2,main,cursor-top,↓,611,28,35,36,
3,main,cursor-top,←,656,29,35,36,
4,main,cursor-top,→,701,30,35,36,
5,main,R1,ESC,74,55,41,40,
6,main,R1,1 !,121,56,40,40,
7,main,R1,2 @,167,57,40,40,
8,main,R1,3 #,213,57,40,40,
9,main,R1,4 $,259,58,40,40,
10,main,R1,5 %,305,59,40,40,
11,main,R1,6 ^,351,60,40,40,
12,main,R1,7 &,397,61,40,40,
13,main,R1,8 *,443,62,40,40,
14,main,R1,9 (,489,63,40,40,
15,main,R1,0 ),535,64,40,40,
16,main,R1,- _,581,65,40,40,
17,main,R1,+ =,627,66,40,40,
18,main,R1,~ `,673,67,40,40,
19,main,R1,BACKSPACE,718,68,45,40,
20,main,R2,TAB,55,100,58,40,
21,main,R2,Q,123,102,40,40,
22,main,R2,W,168,103,40,40,
23,main,R2,E,213,103,40,40,
24,main,R2,R,258,104,40,40,
25,main,R2,T,303,105,40,40,
26,main,R2,Y,348,106,40,40,
27,main,R2,U,393,107,40,40,
28,main,R2,I,438,108,40,40,
29,main,R2,O,483,109,40,40,
30,main,R2,P,528,110,40,40,
31,main,R2,[ {,573,111,40,40,
32,main,R2,] },618,112,40,40,
33,main,R2,UNLABELED,664,113,41,40,
34,main,R2,DEL,713,114,41,40,
35,main,R3,CTRL,13,145,44,41,
36,main,R3,CAPS LOCK,59,146,57,41,
37,main,R3,UNLABELED,116,147,32,41,
38,main,R3,A,135,148,40,41,
39,main,R3,S,180,149,40,41,
40,main,R3,D,225,150,40,41,
41,main,R3,F,270,151,40,41,
42,main,R3,BELL G,315,152,40,41,
43,main,R3,H,360,153,40,41,
44,main,R3,J,405,154,40,41,
45,main,R3,K,450,154,40,41,
46,main,R3,L,495,155,40,41,
47,main,R3,; :,540,156,40,41,
48,main,R3,""" '",585,157,40,41,
49,main,R3,RETURN,631,158,74,42,
50,main,R3,\ |,711,160,41,41,
51,main,R4,SHIFT,45,194,71,41,
52,main,R4,Z,123,196,40,41,
53,main,R4,X,168,197,40,41,
54,main,R4,C,213,198,40,41,
55,main,R4,V,258,198,40,41,
56,main,R4,B,303,199,40,41,
57,main,R4,N,348,200,40,41,
58,main,R4,M,393,201,40,41,
59,main,R4,", <",438,202,40,41,
60,main,R4,. >,483,203,40,41,
61,main,R4,? /,528,204,40,41,
62,main,R4,SHIFT,620,206,65,41,
63,main,R4,LINE FEED,692,208,55,41,
64,main,R5,SPACE,140,253,439,52,
65,numpad,N1,7,808,91,40,40,
66,numpad,N1,8,855,92,40,40,
67,numpad,N1,9,902,93,40,40,
68,numpad,N1,-,949,94,40,40,
69,numpad,N2,4,807,133,40,40,
70,numpad,N2,5,854,134,40,40,
71,numpad,N2,6,901,135,40,40,
72,numpad,N2,",",948,136,40,40,
73,numpad,N3,1,806,176,40,40,
74,numpad,N3,2,853,177,40,40,
75,numpad,N3,3,900,178,40,40,
76,numpad,N3-N4,ENTER,946,179,46,92,
77,numpad,N4,0,805,220,87,45,
78,numpad,N4,.,899,222,40,44,
